Step,Balance,Shares Held,Net Worth,Profit
297,11364.860321044922,0,11364.860321044922,1364.8603210449219
298,11364.860321044922,0,11364.860321044922,1364.8603210449219
299,116.47979736328125,[39.],11364.860321044922,1364.8603210449219
300,116.47979736328125,[39.],10816.519226074219,816.5192260742188
301,9792.769821166992,0,9792.769821166992,-207.2301788330078
302,97.24955749511719,[36.],9792.769821166992,-207.2301788330078
303,8731.84977722168,0,8731.84977722168,-1268.1502227783203
304,8731.84977722168,0,8731.84977722168,-1268.1502227783203
305,91.84977722167969,[36.],8731.84977722168,-1268.1502227783203
306,91.84977722167969,[36.],8750.209579467773,-1249.7904205322266
307,91.84977722167969,[36.],8328.649887084961,-1671.350112915039
